  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:04 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S      0:00 [watchdog/0]
   11 ?        S      0:00 [watchdog/1]
   12 ?        S      0:00 [migration/1]
   13 ?        S      0:00 [ksoftirqd/1]
   15 ?        S<     0:00 [kworker/1:0H]
   16 ?        S      0:00 [watchdog/2]
   17 ?        S      0:00 [migration/2]
   18 ?        S      0:00 [ksoftirqd/2]
   20 ?        S<     0:00 [kworker/2:0H]
   21 ?        S      0:00 [watchdog/3]
   22 ?        S      0:00 [migration/3]
   23 ?        S      0:00 [ksoftirqd/3]
   25 ?        S<     0:00 [kworker/3:0H]
   26 ?        S      0:00 [kdevtmpfs]
   27 ?        S<     0:00 [netns]
   28 ?        S<     0:00 [perf]
   29 ?        S      0:00 [khungtaskd]
   30 ?        S<     0:00 [writeback]
   31 ?        SN     0:00 [ksmd]
   32 ?        SN     0:00 [khugepaged]
   33 ?        S<     0:00 [crypto]
   34 ?        S<     0:00 [kintegrityd]
   35 ?        S<     0:00 [bioset]
   36 ?        S<     0:00 [kblockd]
   37 ?        S<     0:00 [ata_sff]
   38 ?        S<     0:00 [md]
   39 ?        S<     0:00 [devfreq_wq]
   43 ?        S      0:00 [kswapd0]
   44 ?        S<     0:00 [vmstat]
   45 ?        S      0:00 [fsnotify_mark]
   46 ?        S      0:00 [ecryptfs-kthrea]
   62 ?        S<     0:00 [kthrotld]
   63 ?        S<     0:00 [acpi_thermal_pm]
   64 ?        S<     0:00 [bioset]
   65 ?        S<     0:00 [bioset]
   66 ?        S<     0:00 [bioset]
   67 ?        S<     0:00 [bioset]
   68 ?        S<     0:00 [bioset]
   69 ?        S<     0:00 [bioset]
   70 ?        S<     0:00 [bioset]
   71 ?        S<     0:00 [bioset]
   72 ?        S<     0:00 [bioset]
   73 ?        S<     0:00 [bioset]
   74 ?        S<     0:00 [bioset]
   75 ?        S<     0:00 [bioset]
   76 ?        S<     0:00 [bioset]
   77 ?        S<     0:00 [bioset]
   78 ?        S<     0:00 [bioset]
   79 ?        S<     0:00 [bioset]
   80 ?        S<     0:00 [bioset]
   81 ?        S<     0:00 [bioset]
   82 ?        S<     0:00 [bioset]
   83 ?        S<     0:00 [bioset]
   84 ?        S<     0:00 [bioset]
   85 ?        S<     0:00 [bioset]
   86 ?        S<     0:00 [bioset]
   87 ?        S<     0:00 [bioset]
   93 ?        S<     0:00 [ipv6_addrconf]
  108 ?        S<     0:00 [deferwq]
  109 ?        S<     0:00 [charger_manager]
  149 ?        S<     0:00 [kpsmoused]
  151 ?        S      0:00 [scsi_eh_0]
  152 ?        S<     0:00 [scsi_tmf_0]
  153 ?        S      0:00 [scsi_eh_1]
  154 ?        S<     0:00 [scsi_tmf_1]
  155 ?        S      0:00 [scsi_eh_2]
  156 ?        S<     0:00 [scsi_tmf_2]
  157 ?        S      0:00 [scsi_eh_3]
  158 ?        S<     0:00 [scsi_tmf_3]
  163 ?        S<     0:00 [bioset]
  164 ?        S<     0:00 [bioset]
  190 ?        S<     0:00 [kworker/2:1H]
  192 ?        S      0:00 [jbd2/sda8-8]
  193 ?        S<     0:00 [ext4-rsv-conver]
  218 ?        S<     0:00 [kworker/3:1H]
  220 ?        S      0:00 [kauditd]
  240 ?        S<     0:00 [kworker/0:1H]
  244 ?        Ss     0:00 /lib/systemd/systemd-journald
  269 ?        Ss     0:00 /lib/systemd/systemd-udevd
