 2147 ?        Sl     0:06 gedit /home/mohit_linux/Desktop/OS_PROG/prog1.c
 4002 pts/20   S+     0:00 grep --color=auto prog1
23948 pts/4    R+     0:00 ./prog1
23949 pts/4    R+     0:00 ./prog1
23950 pts/4    R+     0:00 ./prog1
23951 pts/4    R+     0:00 ./prog1
23952 pts/4    R+     0:00 ./prog1
23953 pts/4    R+     0:00 ./prog1
23954 pts/4    R+     0:00 ./prog1
23955 pts/4    R+     0:00 ./prog1
23956 pts/4    R+     0:00 ./prog1
23957 pts/4    R+     0:00 ./prog1
23958 pts/4    R+     0:00 ./prog1
23959 pts/4    R+     0:00 ./prog1
23960 pts/4    R+     0:00 ./prog1
23961 pts/4    R+     0:00 ./prog1
23962 pts/4    R+     0:00 ./prog1
23963 pts/4    R+     0:00 ./prog1
23964 pts/4    R+     0:00 ./prog1
23965 pts/4    R+     0:00 ./prog1
23966 pts/4    R+     0:00 ./prog1
23967 pts/4    R+     0:00 ./prog1
23968 pts/4    R+     0:00 ./prog1
23969 pts/4    R+     0:00 ./prog1
23970 pts/4    R+     0:00 ./prog1
23971 pts/4    R+     0:00 ./prog1
23972 pts/4    R+     0:00 ./prog1
23973 pts/4    R+     0:00 ./prog1
23974 pts/4    R+     0:00 ./prog1
23975 pts/4    R+     0:00 ./prog1
23976 pts/4    R+     0:00 ./prog1
23977 pts/4    R+     0:00 ./prog1
23978 pts/4    R+     0:00 ./prog1
23979 pts/4    R+     0:00 ./prog1
23980 pts/4    R+     0:00 ./prog1
23981 pts/4    R+     0:00 ./prog1
23982 pts/4    R+     0:00 ./prog1
23983 pts/4    R+     0:00 ./prog1
23984 pts/4    R+     0:00 ./prog1
23985 pts/4    R+     0:00 ./prog1
23986 pts/4    R+     0:00 ./prog1
23987 pts/4    R+     0:00 ./prog1
23988 pts/4    R+     0:00 ./prog1
23989 pts/4    R+     0:00 ./prog1
23990 pts/4    R+     0:00 ./prog1
23991 pts/4    R+     0:00 ./prog1
23992 pts/4    R+     0:00 ./prog1
23993 pts/4    R+     0:00 ./prog1
23994 pts/4    R+     0:00 ./prog1
23995 pts/4    R+     0:00 ./prog1
23996 pts/4    R+     0:00 ./prog1
23997 pts/4    R+     0:00 ./prog1
23998 pts/4    R+     0:00 ./prog1
23999 pts/4    R+     0:00 ./prog1
24000 pts/4    R+     0:00 ./prog1
24001 pts/4    R+     0:00 ./prog1
24002 pts/4    R+     0:00 ./prog1
24003 pts/4    R+     0:00 ./prog1
24004 pts/4    R+     0:00 ./prog1
24005 pts/4    R+     0:00 ./prog1
24006 pts/4    R+     0:00 ./prog1
24007 pts/4    R+     0:00 ./prog1
24008 pts/4    R+     0:00 ./prog1
24009 pts/4    R+     0:00 ./prog1
24010 pts/4    R+     0:00 ./prog1
24011 pts/4    R+     0:00 ./prog1
24012 pts/4    R+     0:00 ./prog1
24013 pts/4    R+     0:00 ./prog1
24014 pts/4    R+     0:00 ./prog1
24015 pts/4    R+     0:00 ./prog1
24016 pts/4    R+     0:00 ./prog1
24017 pts/4    R+     0:00 ./prog1
24018 pts/4    R+     0:00 ./prog1
24019 pts/4    R+     0:00 ./prog1
24020 pts/4    R+     0:00 ./prog1
24021 pts/4    R+     0:00 ./prog1
24022 pts/4    R+     0:00 ./prog1
24023 pts/4    R+     0:00 ./prog1
24024 pts/4    R+     0:00 ./prog1
24025 pts/4    R+     0:00 ./prog1
24026 pts/4    R+     0:00 ./prog1
24027 pts/4    R+     0:00 ./prog1
24028 pts/4    R+     0:00 ./prog1
24029 pts/4    R+     0:00 ./prog1
24030 pts/4    R+     0:00 ./prog1
24031 pts/4    R+     0:00 ./prog1
24032 pts/4    R+     0:00 ./prog1
24033 pts/4    R+     0:00 ./prog1
24034 pts/4    R+     0:00 ./prog1
24035 pts/4    R+     0:00 ./prog1
24036 pts/4    R+     0:00 ./prog1
24037 pts/4    R+     0:00 ./prog1
24038 pts/4    R+     0:00 ./prog1
24039 pts/4    R+     0:00 ./prog1
24040 pts/4    R+     0:00 ./prog1
24041 pts/4    R+     0:00 ./prog1
24042 pts/4    R+     0:00 ./prog1
24043 pts/4    R+     0:00 ./prog1
24044 pts/4    R+     0:00 ./prog1
24045 pts/4    R+     0:00 ./prog1
24046 pts/4    R+     0:00 ./prog1
24047 pts/4    R+     0:00 ./prog1
24048 pts/4    R+     0:00 ./prog1
24049 pts/4    R+     0:00 ./prog1
24050 pts/4    R+     0:00 ./prog1
24051 pts/4    R+     0:00 ./prog1
24052 pts/4    R+     0:00 ./prog1
24053 pts/4    R+     0:00 ./prog1
24054 pts/4    R+     0:00 ./prog1
24055 pts/4    R+     0:00 ./prog1
24056 pts/4    R+     0:00 ./prog1
24057 pts/4    R+     0:00 ./prog1
24058 pts/4    R+     0:00 ./prog1
24059 pts/4    R+     0:00 ./prog1
24060 pts/4    R+     0:00 ./prog1
24061 pts/4    R+     0:00 ./prog1
24062 pts/4    R+     0:00 ./prog1
24063 pts/4    R+     0:00 ./prog1
24064 pts/4    R+     0:00 ./prog1
24065 pts/4    R+     0:00 ./prog1
24066 pts/4    R+     0:00 ./prog1
24067 pts/4    R+     0:00 ./prog1
24068 pts/4    R+     0:00 ./prog1
24069 pts/4    R+     0:00 ./prog1
24070 pts/4    R+     0:00 ./prog1
24071 pts/4    R+     0:00 ./prog1
24072 pts/4    R+     0:00 ./prog1
24073 pts/4    R+     0:00 ./prog1
24074 pts/4    R+     0:00 ./prog1
24075 pts/4    R+     0:00 ./prog1
24076 pts/4    R+     0:00 ./prog1
24077 pts/4    R+     0:00 ./prog1
24078 pts/4    R+     0:00 ./prog1
24079 pts/4    R+     0:00 ./prog1
24080 pts/4    R+     0:00 ./prog1
24081 pts/4    R+     0:00 ./prog1
24082 pts/4    R+     0:00 ./prog1
